Company, CPU company, CPU model, touchscreen, Link
ACER,None,i7,No,https://www.amazon.in/Acer-NP515-51-15-6-inch-Processor-Windows/dp/B079HY3F76
Intel,intel,i3,No,https://www.amazon.in/Acer-CTESI-012-15-6-inch-i3-7130U-Integrated/dp/B07KMMLZW6
LG,None,Pentium,No,https://www.amazon.in/Lenovo-80LG0002IH-Notebook-Pentium-Warranty/dp/B01KFLFV2K
Dell,None,i5,No,https://www.amazon.in/Dell-3568-15-6-inch-i5-7200U-Integrated/dp/B01N4M4U41
Intel,intel,i3,No,https://www.amazon.in/HP-15-bs618TU-Anti-Glare-i3-6006U-Sparkling/dp/B07B3Q6MJF
Lenovo,None,i3,No,https://www.amazon.in/Lenovo-80L000HLIN-15-6-inch-i3-4005U-Graphics/dp/B014COL6PC
Intel,intel,i7,No,https://www.amazon.in/HP-17-an136tx-17-3-inch-i7-8750H-Graphics/dp/B07DYDDCJM
Lenovo,None,i5,No,https://www.amazon.in/Lenovo-80E5021EIN-15-6-inch-i5-5200U-Integrated/dp/B00ZPM2AAG
MSI,None,i7,No,https://www.amazon.in/MSI-GE73-8RF-024IN-17-3-inch-i7-8750H/dp/B07C99BDNC
Mi,intel,i7,No,https://www.amazon.in/Dell-i7577-5241BLK-PUS-Gaming-Laptop-Graphics/dp/B0764HW117
Lenovo,None,i3,No,https://www.amazon.in/Lenovo-15-6-inch-Laptop-i3-6006U-Windows/dp/B07HV9967B
Asus,None,Celeron,No,https://www.amazon.in/Asus-X541Na-Go008-Celeron-Display-Endless/dp/B074J6Q488
Dell,None,i7,yes,https://www.amazon.in/Dell-Y567503HIN9-15-6-inch-Touchscreen-i7-6700HQ/dp/B01FDFILDY
Lenovo,None,None,No,https://www.amazon.in/Lenovo-IdeaPad-80XR0134IN-Harddisk-Windows10/dp/B0778GRBS7
Intel,intel,i3,No,https://www.amazon.in/Acer-NX-GE6SI-021-15-6-inch-Processor-Integrated/dp/B06W547QGX
Lenovo,None,i3,No,https://www.amazon.in/Lenovo-80VB00ACIH-i3-7100U-Integrated-Graphics/dp/B01MTBHRXU
Lenovo,None,i7,No,https://www.amazon.in/Lenovo-80R50086IH-14-inch-Windows-Graphics/dp/B01EJPVDA2
Lenovo,None,i5,yes,https://www.amazon.in/Lenovo-14-0-inch-Touchscreen-Core-i5-6200u-Windows/dp/B019IE4NVK
HP,None,i5,No,https://www.amazon.in/HP-Pavilion-Power-15-cb054tx-Integrated/dp/B0752S2RDX
Azom,None,i7,No,https://www.amazon.in/Azom-Exigo-15-6-inch-Upgradable-i7-8700K/dp/B00TWFPRQ6
Asus,None,i7,No,https://www.amazon.in/FX503VD-DM111T-15-6-inch-i7-7700HQ-Windows-Graphics/dp/B07822Z6MJ
Intel,intel,i7,No,https://www.amazon.in/Dell-Inspiron-7559-8045-15-6-inch-Laptop/dp/B0185P47QY
Lenovo,None,i7,No,https://www.amazon.in/Lenovo-IdeaPad-NVIDIA-GeForce-Graphics/dp/B07HQRDF26
Lenovo,None,i3,No,https://www.amazon.in/CERTIFIED-REFURBISHED-Lenovo-59-442243-Integrated/dp/B07K4857JG
Mi,amd,A6,No,https://www.amazon.in/HP-Premium-Backlight-A6-9225-Dual-Core/dp/B07K3YTY5B
Lenovo,intel,i5,No,https://www.amazon.in/REFURBISHED-Lenovo-80VB000DIH-windowsAMD-R16M-M1-30/dp/B07K257LCJ
Intel,intel,i7,No,https://www.amazon.in/CERTIFIED-REFURBISHED-Acer-i7-7700HQ-Dedicated/dp/B07JQBBPLC
Mi,amd,None,No,https://www.amazon.in/Lenovo-IdeaPad-320-15-6-Laptop/dp/B07JNDHG5M
Mi,None,Pentium,No,https://www.amazon.in/CERTIFIED-REFURBISHED-Lenovo-80T700EMIH-Integrated/dp/B07J32F91J
Intel,intel,i3,No,https://www.amazon.in/CERTIFIED-REFURBISHED-HP-15q-bu040tu-Integrated/dp/B07J2M31HR
Intel,intel,i5,No,https://www.amazon.in/REFURBISHED-HP-Pavilion-Notebook-15-bc407TX/dp/B07J2L71CM
Intel,intel,i3,No,https://www.amazon.in/CERTIFIED-REFURBISHED-HP-15q-BU034tu-Integrated/dp/B07J2L65B9
Intel,intel,i7,No,https://www.amazon.in/CERTIFIED-REFURBISHED-HP-15-dc0084tx-15-6-inch/dp/B07J2KM317
Dell,None,i5,No,https://www.amazon.in/CERTIFIED-REFURBISHED-Dell-Inspiron-15/dp/B07J2JW69D
crosoft,None,i5,No,https://www.amazon.in/CERTIFIED-REFURBISHED-Inspiron-15-6-inch-Pre-Installed/dp/B07J2JV7N5
Lenovo,None,i3,No,https://www.amazon.in/Lenovo-80XG00A3IN-i3-6006U-Integrated-Graphics/dp/B07J2J4VZ2
Lenovo,amd,i5,No,https://www.amazon.in/CERTIFIED-REFURBISHED-Lenovo-G50-80-80E502UKIN/dp/B07HK2T9PL
Mi,intel,Celeron,No,https://www.amazon.in/Lenovo-Ideapad-Business-802-11ac-Bluetooth/dp/B07HJ4Y6DC
Lenovo,None,None,No,https://www.amazon.in/Lenovo-IdeaPad-330-CDC-N4000-Black/dp/B07H9YQD1X
Mi,intel,Celeron,No,https://www.amazon.in/Lenovo-Ideapad-Celeron-Processor-Bluetooth/dp/B07H96QYF3
Mi,intel,Celeron,No,https://www.amazon.in/Lenovo-Ideapad-Celeron-Processor-Bluetooth/dp/B07H8NL7YQ
Mi,intel,Celeron,No,https://www.amazon.in/Lenovo-Ideapad-Celeron-Processor-Bluetooth/dp/B07H8NKB2R
Mi,intel,i7,No,https://www.amazon.in/CERTIFIED-REFURBISHED-HP-15-ce072tx-15-6-Inch/dp/B07H89T9W9
MSI,None,i5,No,https://www.amazon.in/CERTIFIED-REFURBISHED-MSI-GL63-8RD-455IN/dp/B07H891T9Z
ACER,None,i5,No,https://www.amazon.in/CERTIFIED-REFURBISHED-Acer-AN515-52-15-6-inch/dp/B07H88BKX4
